objectid,parcelcount,combinedvaccount,combinedvacpercentage,date_update,Shape__Area,Shape__Length
1,44,0,0,2025/11/30 00:00:00+00,25053.9375,653.907886596318
2,24,0,0,2025/11/30 00:00:00+00,10464.11328125,582.645904888099
3,7,0,0,2025/11/30 00:00:00+00,923.4140625,127.895018636032
4,38,1,2.63157895,2025/11/30 00:00:00+00,14129.51171875,548.546927051682
5,49,0,0,2025/11/30 00:00:00+00,41448.97265625,887.278580090605
6,181,17,9.39226519,2025/11/30 00:00:00+00,299723.06640625,6989.0277754163
7,105,0,0,2025/11/30 00:00:00+00,23136.30078125,1107.11183518166
8,5,0,0,2025/11/30 00:00:00+00,1636.5703125,193.598363079152
9,45,0,0,2025/11/30 00:00:00+00,6925.640625,690.42618103364
10,3,0,0,2025/11/30 00:00:00+00,135979.8671875,1921.31920390531
11,3,0,0,2025/11/30 00:00:00+00,9504.0703125,841.783529564705
12,73,0,0,2025/11/30 00:00:00+00,73418.58203125,1894.55019484989
13,6,0,0,2025/11/30 00:00:00+00,2143.6640625,188.174197027339
14,103,5,4.85436893,2025/11/30 00:00:00+00,768618.8515625,5607.82337609864
15,21,7,33.33333333,2025/11/30 00:00:00+00,7992.54296875,364.590345419167
16,46,0,0,2025/11/30 00:00:00+00,25261.1328125,781.688501469161
17,54,0,0,2025/11/30 00:00:00+00,23058.94140625,729.25399224586
18,27,0,0,2025/11/30 00:00:00+00,15799.3046875,710.944217879989
19,40,0,0,2025/11/30 00:00:00+00,17318.9375,574.257026500924
20,68,0,0,2025/11/30 00:00:00+00,16510.51953125,601.049905643526
21,13,0,0,2025/11/30 00:00:00+00,10857.125,440.81986038505
22,34,0,0,2025/11/30 00:00:00+00,4221.08984375,423.382139687045
23,15,12,80,2025/11/30 00:00:00+00,6146.58203125,331.849624437164
24,21,9,42.85714286,2025/11/30 00:00:00+00,1900.43359375,306.493826184338
25,9,0,0,2025/11/30 00:00:00+00,1611.57421875,171.276719974331
26,34,10,29.41176471,2025/11/30 00:00:00+00,7272.28515625,512.376129821062
27,29,0,0,2025/11/30 00:00:00+00,4577.32421875,443.270614808566
28,3,0,0,2025/11/30 00:00:00+00,115588.9296875,1460.63550429916
29,80,0,0,2025/11/30 00:00:00+00,37273.8203125,1179.55413520027
30,5,0,0,2025/11/30 00:00:00+00,443808.61328125,3777.18357133588
31,58,5,8.62068966,2025/11/30 00:00:00+00,551723.9921875,5973.11385061618
32,40,0,0,2025/11/30 00:00:00+00,21752.984375,698.948042062504
33,61,0,0,2025/11/30 00:00:00+00,412379.78125,6214.24245115524
34,47,16,34.04255319,2025/11/30 00:00:00+00,11886.6015625,724.777815342672
35,43,0,0,2025/11/30 00:00:00+00,10628.35546875,442.73029275931
36,52,3,5.76923077,2025/11/30 00:00:00+00,17986.10546875,641.493959927528
37,1,0,0,2025/11/30 00:00:00+00,40106.60546875,832.277713470799
38,1,0,0,2025/11/30 00:00:00+00,9415.47265625,440.340900578998
39,197,15,7.6142132,2025/11/30 00:00:00+00,280112.9765625,6071.64173908589
40,58,1,1.72413793,2025/11/30 00:00:00+00,1176767.4453125,7768.80426578609
41,17,3,17.64705882,2025/11/30 00:00:00+00,4583.765625,425.240863070857
42,43,1,2.3255814,2025/11/30 00:00:00+00,12298.14453125,767.212549351146
43,38,7,18.42105263,2025/11/30 00:00:00+00,4123.37109375,466.082729867462
44,51,0,0,2025/11/30 00:00:00+00,7396.23828125,703.086328777453
45,62,1,1.61290323,2025/11/30 00:00:00+00,27808.75390625,1089.62053470868
46,63,9,14.28571429,2025/11/30 00:00:00+00,31943.765625,990.4200332372
47,34,0,0,2025/11/30 00:00:00+00,36644.24609375,1020.90946863962
48,38,0,0,2025/11/30 00:00:00+00,6344.08984375,570.939480498899
49,57,1,1.75438596,2025/11/30 00:00:00+00,10643.640625,495.846950478552
50,13,2,15.38461538,2025/11/30 00:00:00+00,10717.3359375,450.512040757489
51,32,1,3.125,2025/11/30 00:00:00+00,19408.50390625,644.592463856428
52,30,0,0,2025/11/30 00:00:00+00,5146.80078125,302.070905988011
53,20,0,0,2025/11/30 00:00:00+00,4664.0625,269.462040585752
54,34,6,17.64705882,2025/11/30 00:00:00+00,11482.42578125,673.841616509866
55,30,12,40,2025/11/30 00:00:00+00,38878.71484375,1416.74224739654
56,104,23,22.11538462,2025/11/30 00:00:00+00,98113.6953125,3693.86185647007
